Stock,Alt,Sim,Year,SSB,Rec,Tot_biom,SPR_Implied,F,Ntot,Catch,ABC,OFL,AvgAge,AvgAgeTot,SexRatio,B100,B40,B35,Scenario
EBS_Pollock_2024,2,16,2027,2645.25,17095.6,9719.22,0.464033,0.207684,8866.83,1300,1634.49,1962.4,4.93409,2.54045,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,16,2028,2347.45,17759.6,8988.43,0.44791,0.221452,7668.25,1300,1500.37,1775.01,5.0076599999999996,2.34719,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,16,2029,1892.61,8637.72,8223.79,0.390093,0.280377,6410.11,1300,1028.9,1224.49,4.41504,2.67359,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,16,2030,1594.67,13801.9,7524.7,0.33531300000000003,0.355679,5837.74,1300,723.8,869.459,3.87191,2.37068,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,16,2031,1496.15,35331.6,7115.8,0.33084,0.362983,5825.33,1300,670.756,807.152,3.94077,1.70813,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,16,2032,1366.58,8460.97,7883.23,0.32145,0.379013,5290.33,1300,599.838,722.467,3.78387,2.3303,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,17,2025,3274.81,24580.9,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.40779,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,17,2026,2883.61,24772.6,11670.5,0.479905,0.195044,9497.26,1300,1729.23,2075.7,4.69308,2.32285,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,17,2027,2652.32,50760.7,11829.8,0.467145,0.205137,8927.21,1300,1653.26,1985.59,4.30123,1.8536300000000001,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,17,2028,2570.18,18677.5,13515.9,0.468894,0.203721,9095.35,1300,1663.39,1997.56,4.04006,2.38498,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,17,2029,2631.64,12897.1,14117.2,0.480186,0.194827,9668.08,1300,1734.1,2084.84,3.50787,2.79675,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,17,2030,3022.2,14556.9,14038.4,0.51041,0.172966,11980.1,1300,1935.86,2329.55,3.81094,2.9025,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,17,2031,3559.56,21686,13908.1,0.560547,0.141882,13075.8,1300,2324.71,2796.24,4.47344,2.62946,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,17,2032,3500.7,26295.7,12844.3,0.567682,0.137899,12087.2,1300,2361.38,2825.72,4.8707,2.39702,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,18,2025,3274.81,22697.4,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.46663,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,18,2026,2883.61,11668,11566.9,0.479905,0.195044,9497.26,1300,1729.23,2075.7,4.69629,2.82452,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,18,2027,2651.6,12466.5,10962.4,0.46683,0.205394,8921.08,1300,1651.35,1983.23,4.37507,2.83296,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,18,2028,2543.17,44591.3,10215.1,0.464853,0.20701,8911.9,1300,1638.98,1967.48,4.50252,1.85969,0.5,5977.95,2391.18,2092.28,2
