Terminal_year,Year,Estimate,Standard_error,Lower_2SD,Upper_2SD
2020,1969,1894.665931549955,376.67116018068344,1141.323611188588,2648.008251911322
2020,1970,2006.3371991541858,381.2742730833793,1243.7886529874272,2768.8857453209444
2020,1971,2118.4180260196267,393.07124417141284,1332.275537676801,2904.5605143624525
2020,1972,1980.107170596578,362.84137969732797,1254.424411201922,2705.789929991234
2020,1973,1699.9202314143195,333.0271022738597,1033.8660268666,2365.974435962039
2020,1974,1297.3685972031378,293.06275814806264,711.2430809070125,1883.4941134992632
2020,1975,1205.954698670886,263.81083536054945,678.3330279497872,1733.5763693919848
2020,1976,1130.2479995147528,200.58655726593952,729.0748849828738,1531.4211140466318
2020,1977,1322.3893518218026,193.18486004527864,936.0196317312453,1708.75907191236
2020,1978,1179.7681440716024,159.11729747405934,861.5335491234837,1498.002739019721
2020,1979,1094.2614360775412,135.82932965187254,822.6027767737962,1365.9200953812863
2020,1980,1305.6035565668515,130.46543496703333,1044.672686632785,1566.534426500918
2020,1981,1990.3462102625085,135.1460895106611,1720.0540312411863,2260.6383892838307
2020,1982,2752.387046527025,159.58568818328453,2433.2156701604563,3071.558422893594
2020,1983,3679.1348712230883,202.49464089730407,3274.14558942848,4084.1241530176967
2020,1984,3810.424197990979,206.5579709353293,3397.30825612032,4223.540139861638
2020,1985,4344.2993766584095,208.55834287854486,3927.18269090132,4761.416062415499
2020,1986,4228.2363041397775,185.09839972309882,3858.03950469358,4598.433103585975
2020,1987,4249.935210963341,164.09170732717158,3921.7517963089977,4578.118625617684
2020,1988,4009.100792575342,140.03315095064562,3729.0344906740506,4289.167094476633
2020,1989,3482.274924454891,122.31460310873598,3237.645718237419,3726.904130672363
2020,1990,2971.536496694749,112.22987380615089,2747.0767490824473,3195.996244307051
2020,1991,2420.182371044086,102.6788523391421,2214.8246663658015,2625.54007572237
2020,1992,2296.4599268938528,89.85774992423114,2116.7444270453907,2476.175426742315
2020,1993,2982.058040257163,101.67715979305662,2778.7037206710497,3185.4123598432766
2020,1994,3454.87646568419,114.63287672367673,3225.6107122368367,3684.1422191315432
2020,1995,3697.6135643775906,119.50753440327644,3458.598495571038,3936.6286331841434
2020,1996,3639.75072232871,117.73457047319472,3404.2815813823204,3875.219863275099
2020,1997,3547.2483870738,117.69419189636577,3311.8600032810687,3782.6367708665316
2020,1998,3023.0512732407747,102.07372530685183,2818.903822627071,3227.1987238544784
2020,1999,3146.5274616560514,101.03941940278514,2944.448622850481,3348.6063004616217
2020,2000,3024.272142613196,94.12213475957543,2836.0278730940454,3212.516412132347
2020,2001,3065.617475684238,95.13345134441818,2875.3505729954013,3255.8843783730745
2020,2002,2855.2413347942825,88.88516405077497,2677.4710066927323,3033.0116628958326
2020,2003,2879.366362681003,84.8595662502692,2709.6472301804647,3049.0854951815413
2020,2004,3178.041016452903,89.19486113239631,2999.6512941881106,3356.4307387176955
2020,2005,2804.5858335069984,80.95011294375718,2642.685607619484,2966.4860593945127
2020,2006,2580.093257398735,79.60416894055071,2420.884919517634,2739.3015952798364
2020,2007,2142.942000759539,74.88157717789457,1993.17884640375,2292.705155115328
2020,2008,1667.7684069286747,66.81108505618874,1534.1462368162972,1801.3905770410522
2020,2009,1770.816699127461,71.44576913420386,1627.9251608590534,1913.7082373958688
2020,2010,1814.1737395777834,73.47461492414003,1667.2245097295033,1961.1229694260635
2020,2011,2259.4449927401406,91.10932261249435,2077.2263475151517,2441.6636379651295
2020,2012,2827.1414503347037,120.35149869833168,2586.4384529380404,3067.844447731367
2020,2013,3313.691372091954,156.2730562835255,3001.145259524903,3626.2374846590046
2020,2014,3388.7386181263205,185.48388469745893,3017.7708487314026,3759.7063875212384
2020,2015,3428.1092931303324,228.4310913925607,2971.247110345211,3884.971475915454
2020,2016,4038.472876097281,332.54872177542336,3373.3754325464342,4703.570319648128
2020,2017,4727.137985122837,458.00862300001796,3811.120739122801,5643.1552311228725
2020,2018,4466.2163163954465,492.34430785357944,3481.5277006882875,5450.904932102605
2020,2019,4337.739267730271,544.303924090602,3249.1314195490677,5426.347115911475
2020,2020,3352.7530795281436,469.49144460824846,2413.7701903116467,4291.735968744641
2021,1964,1322.9881581600953,273.7505629742759,775.4870322115435,1870.489284108647
2021,1965,1353.4017441157878,272.8578466647337,807.6860507863204,1899.1174374452553
2021,1966,1378.2861950511772,283.9372009070763,810.4117932370245,1946.1605968653298
2021,1967,1490.4542123393028,300.4706755339989,889.512861271305,2091.3955634073004
2021,1968,1657.5419911662323,338.0680972122782,981.4057967416759,2333.6781855907884
2021,1969,1880.0724150158492,372.99424685668055,1134.083921302488,2626.0609087292105
2021,1970,1991.7106234429643,377.80569465233935,1236.0992341382857,2747.322012747643
2021,1971,2103.5100671671275,389.55653777745,1324.3969916122276,2882.6231427220273
2021,1972,1965.865990887468,359.1940279913359,1247.4779349047963,2684.2540468701395
2021,1973,1686.0285030229018,329.1729942552536,1027.6825145123944,2344.374491533409
2021,1974,1283.7459960838562,289.04127913269764,705.6634378184609,1861.8285543492516
2021,1975,1190.0089124981646,259.01576950498924,671.9773734881861,1708.0404515081432
2021,1976,1111.0742904163167,195.22512156501725,720.6240472862821,1501.5245335463512
2021,1977,1292.1830209984641,185.86556763975946,920.4518857189453,1663.914156277983
2021,1978,1143.2047008389445,151.34738122722572,840.5099383844931,1445.899463293396
2021,1979,1049.2758170807,127.74070772870282,793.7944016232944,1304.7572325381057
2021,1980,1242.8385990125748,121.80959190659665,999.2194151993815,1486.4577828257682
2021,1981,1905.341805760116,127.6748044216292,1649.9921969168574,2160.691414603374
2021,1982,2655.901095270201,154.68855315483341,2346.523988960534,2965.278201579868
2021,1983,3581.0357352732385,199.2873468748144,3182.4610415236098,3979.6104290228673
2021,1984,3729.0525550223224,204.35613230410524,3320.340290414112,4137.764819630533
2021,1985,4266.425945100189,206.75711062897048,3852.911723842248,4679.94016635813
2021,1986,4154.383797082413,183.23516042370926,3787.913476234995,4520.854117929832
2021,1987,4173.030753053646,161.20498220869646,3850.6207886362527,4495.440717471039
2021,1988,3929.9149473645384,135.6539512090868,3658.607044946365,4201.222849782712
2021,1989,3403.6650486776557,116.93630487214314,3169.7924389333693,3637.537658421942
2021,1990,2891.811451979835,106.12139007813465,2679.5686718235656,3104.0542321361045
2021,1991,2339.8520061756703,96.21801483909562,2147.4159764974793,2532.2880358538614
2021,1992,2217.2439869606565,83.39283788045013,2050.4583111997563,2384.0296627215566
2021,1993,2890.9504549033272,94.53682641319979,2701.8768020769276,3080.024107729727
2021,1994,3353.040817193869,106.92510722406335,3139.190602745742,3566.8910316419956
2021,1995,3584.9009781961136,111.25248256856051,3362.3960130589926,3807.4059433332345
2021,1996,3522.8617468921457,109.45321861892128,3303.955309654303,3741.768184129988
2021,1997,3427.7480845436753,109.50028923357264,3208.74750607653,3646.7486630108206
2021,1998,2916.052646852528,94.82669814458264,2726.399250563363,3105.7060431416935
2021,1999,3037.6118803876984,93.85391474099056,2849.904050905717,3225.3197098696796
2021,2000,2921.7784133436403,87.51082463815719,2746.756764067326,3096.8000626199546
