spp_file,Alt,Year,variable,value
EBS_Pollock_2024,2,2033,SSB_mean,2498.18
EBS_Pollock_2024,2,2034,SSB_lb,1703.84
EBS_Pollock_2024,2,2034,SSB_ub,3686.02
EBS_Pollock_2024,2,2034,SSB_median,2344.49
EBS_Pollock_2024,2,2034,SSB_mean,2489.2
EBS_Pollock_2024,2,2035,SSB_lb,1691.37
EBS_Pollock_2024,2,2035,SSB_ub,3681.81
EBS_Pollock_2024,2,2035,SSB_median,2357.56
EBS_Pollock_2024,2,2035,SSB_mean,2484.45
EBS_Pollock_2024,2,2036,SSB_lb,1691.94
EBS_Pollock_2024,2,2036,SSB_ub,3653.9
EBS_Pollock_2024,2,2036,SSB_median,2341.96
EBS_Pollock_2024,2,2036,SSB_mean,2475.66
EBS_Pollock_2024,2,2037,SSB_lb,1703.04
EBS_Pollock_2024,2,2037,SSB_ub,3621.88
EBS_Pollock_2024,2,2037,SSB_median,2319.12
EBS_Pollock_2024,2,2037,SSB_mean,2471.75
EBS_Pollock_2024,2,2038,SSB_lb,1720.84
EBS_Pollock_2024,2,2038,SSB_ub,3725.19
EBS_Pollock_2024,2,2038,SSB_median,2339.2
EBS_Pollock_2024,2,2038,SSB_mean,2484.04
EBS_Pollock_2024,2,2025,F_lb,0.169584
EBS_Pollock_2024,2,2025,F_ub,0.169584
EBS_Pollock_2024,2,2025,F_median,0.169584
EBS_Pollock_2024,2,2025,F_mean,0.169584
EBS_Pollock_2024,2,2026,F_lb,0.204459
EBS_Pollock_2024,2,2026,F_ub,0.204465
EBS_Pollock_2024,2,2026,F_median,0.204463
EBS_Pollock_2024,2,2026,F_mean,0.204463
EBS_Pollock_2024,2,2027,F_lb,0.268106
EBS_Pollock_2024,2,2027,F_ub,0.268106
EBS_Pollock_2024,2,2027,F_median,0.268106
EBS_Pollock_2024,2,2027,F_mean,0.268106
EBS_Pollock_2024,2,2028,F_lb,0.244697
EBS_Pollock_2024,2,2028,F_ub,0.268106
EBS_Pollock_2024,2,2028,F_median,0.258937
EBS_Pollock_2024,2,2028,F_mean,0.258694
EBS_Pollock_2024,2,2029,F_lb,0.206685
EBS_Pollock_2024,2,2029,F_ub,0.268106
EBS_Pollock_2024,2,2029,F_median,0.250317
EBS_Pollock_2024,2,2029,F_mean,0.245875
EBS_Pollock_2024,2,2030,F_lb,0.190669
EBS_Pollock_2024,2,2030,F_ub,0.268106
EBS_Pollock_2024,2,2030,F_median,0.254237
EBS_Pollock_2024,2,2030,F_mean,0.24359
EBS_Pollock_2024,2,2031,F_lb,0.190023
EBS_Pollock_2024,2,2031,F_ub,0.268106
EBS_Pollock_2024,2,2031,F_median,0.261152
EBS_Pollock_2024,2,2031,F_mean,0.245017
EBS_Pollock_2024,2,2032,F_lb,0.186649
EBS_Pollock_2024,2,2032,F_ub,0.268106
EBS_Pollock_2024,2,2032,F_median,0.266592
EBS_Pollock_2024,2,2032,F_mean,0.246135
EBS_Pollock_2024,2,2033,F_lb,0.187848
EBS_Pollock_2024,2,2033,F_ub,0.268106
EBS_Pollock_2024,2,2033,F_median,0.265115
EBS_Pollock_2024,2,2033,F_mean,0.246273
EBS_Pollock_2024,2,2034,F_lb,0.187261
EBS_Pollock_2024,2,2034,F_ub,0.268106
EBS_Pollock_2024,2,2034,F_median,0.262993
EBS_Pollock_2024,2,2034,F_mean,0.245837
EBS_Pollock_2024,2,2035,F_lb,0.185787
EBS_Pollock_2024,2,2035,F_ub,0.268106
EBS_Pollock_2024,2,2035,F_median,0.264539
EBS_Pollock_2024,2,2035,F_mean,0.246431
EBS_Pollock_2024,2,2036,F_lb,0.185852
EBS_Pollock_2024,2,2036,F_ub,0.268106
EBS_Pollock_2024,2,2036,F_median,0.262694
EBS_Pollock_2024,2,2036,F_mean,0.246104
EBS_Pollock_2024,2,2037,F_lb,0.187164
EBS_Pollock_2024,2,2037,F_ub,0.268106
EBS_Pollock_2024,2,2037,F_median,0.259995
EBS_Pollock_2024,2,2037,F_mean,0.245633
EBS_Pollock_2024,2,2038,F_lb,0.189275
EBS_Pollock_2024,2,2038,F_ub,0.268106
EBS_Pollock_2024,2,2038,F_median,0.262366
EBS_Pollock_2024,2,2038,F_mean,0.245318
EBS_Pollock_2024,3,2025,C_lb,1350
EBS_Pollock_2024,3,2025,C_ub,1350
EBS_Pollock_2024,3,2025,C_median,1350
EBS_Pollock_2024,3,2025,C_mean,1350
EBS_Pollock_2024,3,2025,C_sd,3.31966e-11
EBS_Pollock_2024,3,2026,C_lb,1350
EBS_Pollock_2024,3,2026,C_ub,1350
EBS_Pollock_2024,3,2026,C_median,1350
EBS_Pollock_2024,3,2026,C_mean,1350
EBS_Pollock_2024,3,2026,C_sd,3.38043e-07
EBS_Pollock_2024,3,2027,C_lb,1339.14
EBS_Pollock_2024,3,2027,C_ub,1378.27
EBS_Pollock_2024,3,2027,C_median,1349.25
EBS_Pollock_2024,3,2027,C_mean,1352.97
EBS_Pollock_2024,3,2027,C_sd,13.4879
EBS_Pollock_2024,3,2028,C_lb,1264.83
EBS_Pollock_2024,3,2028,C_ub,1490.62
EBS_Pollock_2024,3,2028,C_median,1326.05
EBS_Pollock_2024,3,2028,C_mean,1346.86
EBS_Pollock_2024,3,2028,C_sd,77.0095
EBS_Pollock_2024,3,2029,C_lb,1077.47
EBS_Pollock_2024,3,2029,C_ub,1848.03
EBS_Pollock_2024,3,2029,C_median,1304.71
EBS_Pollock_2024,3,2029,C_mean,1369.88
EBS_Pollock_2024,3,2029,C_sd,260.91
EBS_Pollock_2024,3,2030,C_lb,950.292
EBS_Pollock_2024,3,2030,C_ub,2155.5
EBS_Pollock_2024,3,2030,C_median,1328.32
EBS_Pollock_2024,3,2030,C_mean,1416.65
EBS_Pollock_2024,3,2030,C_sd,389.93
EBS_Pollock_2024,3,2031,C_lb,922.443
EBS_Pollock_2024,3,2031,C_ub,2153.87
EBS_Pollock_2024,3,2031,C_median,1374.55
EBS_Pollock_2024,3,2031,C_mean,1441.78
EBS_Pollock_2024,3,2031,C_sd,415.39
EBS_Pollock_2024,3,2032,C_lb,922.183
EBS_Pollock_2024,3,2032,C_ub,2188.57
EBS_Pollock_2024,3,2032,C_median,1405.32
EBS_Pollock_2024,3,2032,C_mean,1461.99
EBS_Pollock_2024,3,2032,C_sd,413.956
EBS_Pollock_2024,3,2033,C_lb,929.911
EBS_Pollock_2024,3,2033,C_ub,2270.91
EBS_Pollock_2024,3,2033,C_median,1405.88
EBS_Pollock_2024,3,2033,C_mean,1480.31
EBS_Pollock_2024,3,2033,C_sd,439.599
EBS_Pollock_2024,3,2034,C_lb,910.783
EBS_Pollock_2024,3,2034,C_ub,2268.29
EBS_Pollock_2024,3,2034,C_median,1402.6
EBS_Pollock_2024,3,2034,C_mean,1478.65
EBS_Pollock_2024,3,2034,C_sd,442.203
EBS_Pollock_2024,3,2035,C_lb,904.042
EBS_Pollock_2024,3,2035,C_ub,2261.29
EBS_Pollock_2024,3,2035,C_median,1397.62
EBS_Pollock_2024,3,2035,C_mean,1470.52
EBS_Pollock_2024,3,2035,C_sd,423.055
EBS_Pollock_2024,3,2036,C_lb,916.773
EBS_Pollock_2024,3,2036,C_ub,2255.94
EBS_Pollock_2024,3,2036,C_median,1398.48
EBS_Pollock_2024,3,2036,C_mean,1471.79
EBS_Pollock_2024,3,2036,C_sd,410.568
EBS_Pollock_2024,3,2037,C_lb,918.815
EBS_Pollock_2024,3,2037,C_ub,2218.75
EBS_Pollock_2024,3,2037,C_median,1379.45
EBS_Pollock_2024,3,2037,C_mean,1466.48
EBS_Pollock_2024,3,2037,C_sd,413.631
EBS_Pollock_2024,3,2038,C_lb,926.147
EBS_Pollock_2024,3,2038,C_ub,2279.96
EBS_Pollock_2024,3,2038,C_median,1396.87
EBS_Pollock_2024,3,2038,C_mean,1472.65
EBS_Pollock_2024,3,2038,C_sd,435.237
EBS_Pollock_2024,3,2025,SSB_lb,3262.6
EBS_Pollock_2024,3,2025,SSB_ub,3262.6
EBS_Pollock_2024,3,2025,SSB_median,3262.6
EBS_Pollock_2024,3,2025,SSB_mean,3262.6
EBS_Pollock_2024,3,2026,SSB_lb,2843.77
EBS_Pollock_2024,3,2026,SSB_ub,2843.77
EBS_Pollock_2024,3,2026,SSB_median,2843.77
EBS_Pollock_2024,3,2026,SSB_mean,2843.77
EBS_Pollock_2024,3,2027,SSB_lb,2582.31
EBS_Pollock_2024,3,2027,SSB_ub,2595.62
EBS_Pollock_2024,3,2027,SSB_median,2585.76
EBS_Pollock_2024,3,2027,SSB_mean,2587.02
EBS_Pollock_2024,3,2028,SSB_lb,2302.27
EBS_Pollock_2024,3,2028,SSB_ub,2813.72
EBS_Pollock_2024,3,2028,SSB_median,2432.13
EBS_Pollock_2024,3,2028,SSB_mean,2481.9
EBS_Pollock_2024,3,2029,SSB_lb,1976.45
EBS_Pollock_2024,3,2029,SSB_ub,3425.8
EBS_Pollock_2024,3,2029,SSB_median,2392.74
EBS_Pollock_2024,3,2029,SSB_mean,2505.42
EBS_Pollock_2024,3,2030,SSB_lb,1785.07
EBS_Pollock_2024,3,2030,SSB_ub,3736.74
EBS_Pollock_2024,3,2030,SSB_median,2431.39
EBS_Pollock_2024,3,2030,SSB_mean,2561.54
EBS_Pollock_2024,3,2031,SSB_lb,1739.67
EBS_Pollock_2024,3,2031,SSB_ub,3779.98
EBS_Pollock_2024,3,2031,SSB_median,2499.17
EBS_Pollock_2024,3,2031,SSB_mean,2613.54
EBS_Pollock_2024,3,2032,SSB_lb,1695.27
EBS_Pollock_2024,3,2032,SSB_ub,3910.8
EBS_Pollock_2024,3,2032,SSB_median,2575.98
